0	0.535422153234375	9227.896361	0.028339	0.001711
4736.34786796875	0.535422153234375	9545.286665	0.029314	0.009941
9786.0200625	0.535422153234375	9853.815894	0.030262	0.031063
15169.7618015625	0.535422153234375	10150.594502	0.031173	0.036102
20909.7490078125	0.56796114684375	9845.502605	0.030236	0.026475
27030.3036609375	0.56796114684375	10117.161537	0.031070	0.022388
33556.4630929687	1.75090355008594	3410.664157	0.010474	0.006843
40513.9799882812	1.75090355008594	3587.923374	0.011019	0.006839
47932.1837929687	2.56047018201562	2584.848909	0.007938	0.005031
55841.8346578125	2.56047018201562	2727.575111	0.008377	0.005824
64275.1234382812	3.60290307789844	2047.489459	0.006288	0.004581
73266.387046875	3.60290307789844	2165.045560	0.006649	0.004972
82852.8238054687	5.71778982302344	1444.299803	0.004436	0.003512
93074.4934453125	5.71778982302344	1531.016916	0.004702	0.004004
103972.886402344	8.30725562003906	1117.801226	0.003433	0.002913
115592.354521875	8.30725562003906	1186.560532	0.003644	0.003252
127981.541763281	9.05416930919531	1155.558880	0.003549	0.003407
141190.522790625	9.05416930919531	1226.454146	0.003767	0.003664
155274.379734375	8.89733307684375	1324.179622	0.004067	0.003872
170290.340782031	8.89733307684375	1404.400834	0.004313	0.003968
186300.6415875	7.24827185542969	1826.387067	0.005609	0.005153
203371.094566406	7.24827185542969	1932.723530	0.005936	0.005589
221571.804248438	5.41022408282812	2734.590934	0.008398	0.008101
240977.167277344	5.41022408282812	2881.789315	0.008850	0.008768
261667.303115625	4.1919075061875	3908.803991	0.012004	0.012147
283727.338692187	4.1919075061875	4095.882976	0.012579	0.012988
307248.123754687	3.47797632909375	5156.454925	0.015836	0.016637
332325.515517187	3.47797632909375	5367.685919	0.016484	0.017537
359063.955421875	3.05728953827344	6334.486519	0.019454	0.020947
387572.177025	3.05728953827344	6546.919216	0.020106	0.021781
417968.213463281	2.75770951474219	7471.830516	0.022946	0.025040
450375.820692188	2.75770951474219	7659.166270	0.023522	0.025748
484930.200304687	2.48049140547656	8684.459569	0.026670	0.029310
521771.561360156	2.48049140547656	8809.014450	0.027053	0.029819
561051.558555469	2.20994514907031	9962.132384	0.030594	0.033783
602933.292225	2.20994514907031	9965.157143	0.030604	0.033921
647587.016226562	1.98490960877344	11007.174289	0.033804	0.037482
695197.291464844	1.98490960877344	10823.471548	0.033240	0.036989
745959.409129687	1.85344692405469	11300.878919	0.034706	0.038586
800082.967457813	1.85344692405469	10917.031584	0.033527	0.037337
857789.010323438	1.84973186088281	10497.448298	0.032238	0.035829
919316.465409375	1.84973186088281	10002.647056	0.030719	0.034088
984917.136740625	1.99644585757031	8805.166274	0.027041	0.029930
1054860.71215078	1.99644585757031	8341.460828	0.025617	0.028225
1129434.76328203	2.30496540089063	6850.483930	0.021038	0.023133
1208946.17628984	2.30496540089063	6503.756408	0.019973	0.021835
1293721.86719531	2.75264482014844	5184.532499	0.015922	0.017399
1384110.21258984	2.75264482014844	4952.013093	0.015208	0.016553
1480483.19569219	3.24997684558594	4014.364645	0.012328	0.013450
1583236.40634844	3.24997684558594	3851.960678	0.011830	0.012916
1692792.61779375	3.65441560017188	3285.499376	0.010090	0.011077
1809601.78665234	3.65441560017188	3150.199288	0.009674	0.010687
1934144.62969922	3.85446626760938	2852.397462	0.008760	0.009751
2066933.3392125	3.85446626760938	2712.971894	0.008332	0.009367
2208513.01367813	3.76106509659375	2620.316342	0.008047	0.009110
2359465.94990391	3.76106509659375	2445.319875	0.007510	0.008598
2520413.07372422	3.76106509659375	2261.926725	0.006947	0.008039
2692016.08605703	3.76106509659375	2072.655366	0.006365	0.007439
