Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.50842E-6,0.000150842,0.004939936,1,0,0
2.85648E-6,0.00043649,0.009334067,0.999900299,0,0
3.1168E-6,0.00074817,0.010180362,0.999800598,0,0
3.27224E-6,0.001075394,0.010685366,0.999700897,0,0
3.58461E-6,0.002849465,0.011699389,0.999202393,0,0
3.90683E-6,0.005142685,0.012744335,0.998604187,0,0
4.30101E-6,0.010090441,0.014021091,0.997407777,0,0
4.72881E-6,0.02501245,0.015404932,0.994117647,0,0
5.36894E-6,0.050302204,0.017471937,0.989132602,0,0
6.22964E-6,0.100378516,0.020244365,0.980458624,0,0
7.63296E-6,0.200550798,0.024747822,0.966301097,0,0
8.38752E-6,0.300581604,0.027160788,0.953838485,0,0
9.09391E-6,0.40086756,0.029414277,0.942372881,0,0
9.75333E-6,0.50084586,0.031513216,0.931804586,0,0
1.03979E-5,0.600643506,0.03356035,0.921934197,0,0
1.10348E-5,0.700532432,0.035579225,0.912662014,0,0
1.12883E-5,0.750784186,0.036381463,0.908175474,0,0
1.15924E-5,0.800006822,0.037343101,0.903888335,0,0
1.21548E-5,0.900841647,0.03911872,0.895413759,0,0
1.25579E-5,1.000967442,0.040389481,0.887337986,0,0
1.29564E-5,1.100495876,0.041644335,0.879561316,0,0
1.32975E-5,1.200424213,0.042716804,0.871984048,0,0
1.36754E-5,1.300198111,0.043903621,0.864606181,0,0
1.40442E-5,1.401400825,0.045060811,0.857328016,0,0
1.44351E-5,1.500997808,0.046285428,0.850348953,0,0
1.51793E-5,1.750052993,0.048612645,0.833599202,0.033333333,0
1.62583E-5,2.000317247,0.051976822,0.81774676,0.033333333,0
1.70275E-5,2.251645274,0.054367917,0.802691924,0.033333333,0
1.76819E-5,2.501683988,0.056397396,0.788334995,0.033333333,0
1.82269E-5,2.750956911,0.058084291,0.77447657,0.033333333,0
1.88101E-5,3.000891164,0.05988595,0.761016949,0.033333333,0
1.93503E-5,3.250890839,0.061551588,0.747956132,0.033333333,0
1.98497E-5,3.501859891,0.063088959,0.735194417,0.033333333,0
2.03064E-5,3.750944071,0.064492906,0.722831505,0.033333333,0
2.07708E-5,4.00169119,0.065918071,0.710667996,0.033333333,0
2.12084E-5,4.251604442,0.067259028,0.698803589,0.033333333,0
2.16518E-5,4.50018742,0.06861595,0.687238285,0.033333333,0
2.20715E-5,4.751563301,0.069898224,0.675772682,0.033333333,0
2.24683E-5,5.000832433,0.071109093,0.664606181,0.033333333,0
2.30267E-5,5.250983149,0.072810364,0.653639083,0.033333333,0
2.36358E-5,5.502954507,0.074662822,0.642871386,0.033333333,0
2.42016E-5,5.751846903,0.076379949,0.632502493,0.033333333,0
2.48098E-5,6.002272769,0.078222288,0.622333001,0.033333333,0
2.53547E-5,6.250506642,0.079869942,0.612462612,0.033333333,0
2.5875E-5,6.501663562,0.081440098,0.602691924,0.033333333,0
2.64244E-5,6.750060288,0.083095492,0.593220339,0.033333333,0
2.70461E-5,7.001251124,0.084965213,0.583848455,0.033333333,0
2.77197E-5,7.250394552,0.086986493,0.574775673,0.033333333,0
2.8434E-5,7.500215726,0.089125126,0.565902293,0.033333333,0
2.90404E-5,7.750444178,0.090936664,0.557228315,0.033333333,0
2.96316E-5,8.002774697,0.092699242,0.548654038,0.033333333,0
3.01935E-5,8.251126234,0.094371399,0.540378863,0.033333333,0
3.0771E-5,8.501002528,0.096086876,0.53220339,0.033333333,0
3.14632E-5,8.753121964,0.09813868,0.524127617,0.033333333,0
3.20361E-5,9.000931422,0.099833461,0.516350947,0.033333333,0
3.26489E-5,9.253143525,0.10164252,0.508574277,0.033333333,0
3.31338E-5,9.502946007,0.103071647,0.500997009,0.033333333,0
3.35944E-5,9.750006575,0.104426801,0.493619143,0.033333333,0
3.4011E-5,10.000417062,0.105650744,0.486241276,0.033333333,0
3.4485E-5,10.250515548,0.1070414,0.478963111,0.033333333,0
3.50294E-5,10.500523023,0.108636104,0.471784646,0.033333333,0
3.54888E-5,10.750869854,0.109979533,0.464705882,0.033333333,0
3.60062E-5,11.001022467,0.111489969,0.45772682,0.033333333,0
3.65006E-5,11.251095476,0.112930907,0.450847458,0.033333333,0
3.71184E-5,11.501444285,0.114728186,0.444067797,0.033333333,0
3.76953E-5,11.751972865,0.116403523,0.437387836,0.033333333,0
3.82117E-5,12.00246098,0.117900041,0.430807577,0.033333333,0
3.87979E-5,12.252874858,0.119596105,0.424327019,0.033333333,0
3.94498E-5,12.503270748,0.121478276,0.417946162,0.033333333,0
4.00536E-5,12.75387116,0.123218259,0.411665005,0.033333333,0
4.07068E-5,13.000307173,0.125096327,0.40558325,0.066666667,0
4.14308E-5,13.250771167,0.127173438,0.399501496,0.066666667,0
4.20687E-5,13.501507649,0.128999469,0.393519442,0.066666667,0
4.30338E-5,13.752508213,0.131754934,0.387637089,0.066666667,0
4.41086E-5,14.00081779,0.13481315,0.381954138,0.066666667,0
4.49252E-5,14.250153839,0.137129603,0.376370887,0.066666667,0
4.59496E-5,14.504589114,0.140026675,0.370787637,0.066666667,0
4.70558E-5,14.750831464,0.143143944,0.36550349,0.066666667,0
4.79876E-5,15.002727925,0.145761352,0.360219342,0.066666667,0
4.90266E-5,15.250144935,0.148670048,0.355134596,0.066666667,0
5.02423E-5,15.50368179,0.152061279,0.35004985,0.066666667,0
5.1387E-5,15.752631639,0.155241853,0.345164506,0.066666667,0
5.23688E-5,16.001729492,0.157960409,0.340378863,0.1,0
5.3591E-5,16.250587737,0.161332335,0.335692921,0.1,0
5.46776E-5,16.505096887,0.164318712,0.331006979,0.1,0
5.61916E-5,16.755232008,0.168462197,0.326520439,0.1,0
5.75076E-5,17.005587835,0.172047163,0.322133599,0.1,0
5.85798E-5,17.255136233,0.174956445,0.317846461,0.1,0
5.94904E-5,17.50312973,0.177419192,0.313659023,0.1,0
6.04181E-5,17.755225342,0.179920768,0.309471585,0.1,0
6.14598E-5,18.004899404,0.18272043,0.305383848,0.1,0
6.24526E-5,18.252438755,0.185380035,0.301395813,0.1,0
6.33345E-5,18.504170692,0.187735147,0.297407777,0.133333333,0
6.41197E-5,18.752955336,0.189826235,0.293519442,0.133333333,0
6.54783E-5,19.005510136,0.193431852,0.289631107,0.133333333,0
6.65561E-5,19.256126744,0.196280903,0.285842473,0.133333333,0
6.79799E-5,19.504918377,0.200028965,0.282153539,0.133333333,0
6.90582E-5,19.751877804,0.202856006,0.278564307,0.133333333,0
6.99015E-5,20.002066127,0.205059996,0.274975075,0.133333333,0
7.09454E-5,20.255583314,0.207779658,0.271385842,0.133333333,0
7.21165E-5,20.505635562,0.210819767,0.267896311,0.133333333,0
7.32402E-5,20.752355953,0.213725578,0.264506481,0.133333333,0
7.41816E-5,21.003039315,0.216152075,0.26111665,0.133333333,0
7.49701E-5,21.25660113,0.218178594,0.25772682,0.133333333,0
7.58624E-5,21.505535109,0.220465398,0.25443669,0.133333333,0
7.7149E-5,21.750438241,0.223751352,0.251246261,0.133333333,0
7.86634E-5,22.007628045,0.227601004,0.247956132,0.133333333,0
8.00897E-5,22.25371463,0.231209271,0.244865404,0.133333333,0
8.11587E-5,22.503564454,0.23390288,0.241774676,0.133333333,0
8.25327E-5,22.757060413,0.237350799,0.238683948,0.133333333,0
8.39997E-5,23.006734319,0.241015007,0.235692921,0.133333333,0
8.56687E-5,23.25301287,0.245162312,0.232801595,0.133333333,0
8.73868E-5,23.504184079,0.249408061,0.229910269,0.133333333,0
8.93612E-5,23.751845207,0.254257828,0.227118644,0.133333333,0
9.09254E-5,24.004330964,0.258077504,0.224327019,0.133333333,0
9.21885E-5,24.251226979,0.261147824,0.221635095,0.133333333,0
9.33239E-5,24.501854807,0.263896638,0.21894317,0.133333333,0
9.50708E-5,24.756490997,0.268106229,0.216251246,0.133333333,0
9.64303E-5,25.005339739,0.271365686,0.213659023,0.133333333,0
9.73946E-5,25.257200833,0.273668759,0.2110668,0.133333333,0
9.84786E-5,25.502169926,0.276249116,0.208574277,0.133333333,0
1.0057E-4,25.750716449,0.281202164,0.206081755,0.133333333,0
1.02641E-4,26.004498476,0.28607103,0.203589232,0.133333333,0
1.03735E-4,26.25204334,0.288632513,0.201196411,0.133333333,0
1.04898E-4,26.502479533,0.291341523,0.198803589,0.133333333,0
1.06127E-4,26.755782322,0.294195171,0.196410768,0.133333333,0
1.07436E-4,27.001256312,0.29722252,0.194117647,0.133333333,0
1.08806E-4,27.260784332,0.30037686,0.191724826,0.133333333,0
1.1035E-4,27.501978081,0.303913611,0.189531406,0.133333333,0
1.11776E-4,27.757766726,0.30716542,0.187238285,0.133333333,0
1.12939E-4,28.005194575,0.309806478,0.185044865,0.133333333,0
1.14694E-4,28.255979854,0.313771645,0.182851446,0.133333333,0
1.16247E-4,28.510186828,0.317261501,0.180658026,0.133333333,0
1.17152E-4,28.755526903,0.319285703,0.178564307,0.133333333,0
1.18316E-4,29.00280236,0.32188287,0.176470588,0.133333333,0
1.20252E-4,29.253584011,0.326179557,0.174376869,0.133333333,0
1.21959E-4,29.508152919,0.329943482,0.172283151,0.166666667,0
1.23897E-4,29.753965028,0.334194015,0.170289133,0.166666667,0
1.24747E-4,30.002742391,0.336050097,0.168295115,0.166666667,0
1.26775E-4,30.253735392,0.340455923,0.166301097,0.166666667,0
1.28518E-4,30.508851103,0.34421965,0.164307079,0.166666667,0
1.30472E-4,30.755047266,0.348411703,0.162412762,0.166666667,0
1.32353E-4,31.004676614,0.352423609,0.160518445,0.166666667,0
1.34258E-4,31.258269057,0.356461454,0.158624128,0.166666667,0
1.35469E-4,31.500913113,0.359013555,0.156829511,0.166666667,0
1.37878E-4,31.76034631,0.364063819,0.154935194,0.166666667,0
1.40198E-4,32.010833872,0.368890119,0.153140578,0.166666667,0
1.41705E-4,32.25045724,0.372003224,0.151445663,0.166666667,0
1.43335E-4,32.507157476,0.375356277,0.149651047,0.2,0
1.44426E-4,32.751753047,0.3775885,0.147956132,0.2,0
1.4537E-4,33.012400038,0.379515266,0.146161515,0.2,0
1.46522E-4,33.260681343,0.381857436,0.1444666,0.2,0
1.47889E-4,33.510907394,0.384624163,0.142771685,0.2,0
1.49102E-4,33.763275645,0.387071786,0.14107677,0.2,0
1.50695E-4,34.003312029,0.39026847,0.139481555,0.2,0
1.52874E-4,34.261679202,0.394614645,0.13778664,0.2,0
1.55132E-4,34.508038936,0.399085763,0.136191426,0.2,0
1.57199E-4,34.75790205,0.403149264,0.134596211,0.2,0
1.58751E-4,35.010495025,0.406183239,0.133000997,0.2,0
1.60174E-4,35.265550374,0.408950246,0.131405783,0.2,0
1.61837E-4,35.507164096,0.412167929,0.129910269,0.2,0
1.63964E-4,35.752084921,0.416259998,0.128414756,0.2,0
1.65494E-4,36.015494892,0.419184837,0.126819541,0.233333333,0
1.6681E-4,36.26482431,0.421687875,0.125324028,0.233333333,0
1.68304E-4,36.516346668,0.424516762,0.123828514,0.233333333,0
1.70521E-4,36.753602891,0.428690978,0.122432702,0.233333333,0
1.72723E-4,37.011171504,0.432806738,0.120937188,0.233333333,0
1.74899E-4,37.254688192,0.436844234,0.119541376,0.233333333,0
1.75804E-4,37.500199676,0.438514482,0.118145563,0.233333333,0
1.77672E-4,37.765442535,0.441946632,0.11665005,0.233333333,0
1.79749E-4,38.015528796,0.445739144,0.115254237,0.233333333,0
1.81328E-4,38.250488604,0.448606305,0.113958126,0.233333333,0.25
1.82375E-4,38.505297282,0.450497936,0.112562313,0.233333333,0.25
1.83957E-4,38.761946076,0.453344197,0.1111665,0.266666667,0.25
1.86125E-4,39.002566931,0.457220666,0.109870389,0.266666667,0.5
1.87701E-4,39.264280952,0.460023039,0.108474576,0.266666667,0.5
1.89226E-4,39.509670524,0.462718494,0.107178465,0.266666667,0.5
1.90621E-4,39.756580739,0.465173453,0.105882353,0.266666667,0.5
1.9287E-4,40.005933633,0.469107645,0.104586241,0.266666667,0.5
1.95684E-4,40.25888183,0.473990327,0.10329013,0.266666667,0.5
1.97368E-4,40.514690952,0.476891101,0.101994018,0.266666667,0.5
1.99217E-4,40.752386259,0.480056979,0.100797607,0.266666667,0.5
2.0106E-4,41.012656777,0.483193454,0.099501496,0.266666667,0.5
2.03541E-4,41.255581309,0.487385814,0.098305085,0.266666667,0.5
2.05183E-4,41.500854909,0.490141815,0.097108674,0.266666667,0.5
2.0636E-4,41.76827733,0.492107034,0.095812562,0.266666667,0.5
2.09028E-4,42.017787664,0.496536489,0.094616152,0.266666667,0.5
2.10203E-4,42.269303092,0.498475808,0.093419741,0.266666667,0.5
2.11789E-4,42.501653353,0.50108008,0.092323031,0.266666667,0.5
2.13482E-4,42.75673314,0.503845524,0.09112662,0.266666667,0.5
2.14749E-4,43.013703257,0.505905153,0.089930209,0.266666667,0.5
2.16533E-4,43.250965962,0.50879032,0.0888335,0.266666667,0.5
2.19045E-4,43.512285765,0.512823801,0.087637089,0.266666667,0.5
2.21261E-4,43.75431571,0.516356323,0.086540379,0.266666667,0.5
2.24869E-4,44.000155138,0.522051541,0.085443669,0.333333333,0.5
2.26084E-4,44.270847819,0.523953053,0.084247258,0.333333333,0.5
2.28194E-4,44.520916944,0.527240263,0.083150548,0.333333333,0.5
2.30108E-4,44.75026804,0.53020062,0.082153539,0.333333333,0.5
2.33417E-4,45.005280313,0.535277327,0.08105683,0.333333333,0.5
2.35864E-4,45.263512235,0.538995627,0.07996012,0.333333333,0.5
2.37268E-4,45.523711073,0.541116329,0.07886341,0.333333333,0.5
2.38236E-4,45.761525121,0.542571984,0.077866401,0.333333333,0.5
2.39999E-4,46.000879203,0.545212098,0.076869392,0.333333333,0.5
2.42186E-4,46.266289471,0.548465628,0.075772682,0.333333333,0.5
2.43487E-4,46.50937266,0.550390192,0.074775673,0.333333333,0.5
2.45415E-4,46.753948459,0.553226581,0.073778664,0.333333333,0.5
2.47973E-4,47.000449773,0.556963434,0.072781655,0.333333333,0.5
