Predictor variable,Categorical,Sample average
bio1,false,220.93333333333334
bio12,false,2355.6666666666665
bio14,false,0.9
bio15,false,105.56666666666666
bio17,false,34.53333333333333
bio18,false,731.9
bio19,false,42.733333333333334
bio2,false,0.0
bio3,false,45.166666666666664
