Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.07143E-6,0.000307143,0.010566648,1,0,0
3.66262E-6,0.000673405,0.012587662,0.999900299,0,0
3.68174E-6,0.00104158,0.012652966,0.999800598,0,0
4.07735E-6,0.002581876,0.014002967,0.999401795,0,0
4.30752E-6,0.00510987,0.014787576,0.998803589,0,0
4.47135E-6,0.010393777,0.015345658,0.997607178,0,0
4.99394E-6,0.025241836,0.017123748,0.994516451,0,0
5.42828E-6,0.050304824,0.018599137,0.989730808,0,0
6.44495E-6,0.100214924,0.022043945,0.981355932,0,0
8.417E-6,0.200571972,0.028691451,0.967696909,0,0
9.79296E-6,0.300867085,0.033302805,0.956829511,0,0
1.04386E-5,0.400205687,0.035459083,0.947058824,0,0
1.08958E-5,0.5003611,0.036982903,0.937686939,0,0
1.1447E-5,0.601035542,0.038817157,0.928713858,0,0
1.18827E-5,0.700178369,0.04026441,0.920239282,0,0
1.21086E-5,0.750650519,0.041014066,0.916051844,0,0
1.23384E-5,0.800789049,0.041775926,0.911964108,0,0
1.26944E-5,0.901098818,0.042955071,0.903988036,0,0
1.30196E-5,1.000287752,0.044030966,0.896311067,0,0
1.34236E-5,1.100757775,0.045365545,0.888733799,0,0
1.3715E-5,1.201344384,0.046327381,0.881355932,0,0
1.40078E-5,1.301271252,0.047292703,0.874177468,0,0
1.4265E-5,1.400256669,0.048139636,0.867198405,0,0
1.45424E-5,1.501062363,0.049052474,0.860219342,0,0
1.51981E-5,1.751386574,0.051206569,0.843469591,0,0
1.58353E-5,2.000592759,0.053295155,0.827417747,0,0
1.66055E-5,2.250390675,0.055813778,0.812063809,0,0
1.71501E-5,2.501644758,0.057590567,0.797208375,0,0
1.76846E-5,2.751105822,0.05933103,0.782951147,0,0
1.82316E-5,3.000705771,0.061109063,0.769092722,0,0
1.88111E-5,3.251069358,0.062988923,0.755633101,0,0
1.92798E-5,3.500639492,0.06450652,0.742572283,0,0
1.98268E-5,3.750633793,0.066274743,0.729810568,0,0
2.04218E-5,4.00049978,0.068194226,0.717447657,0,0
2.09695E-5,4.250763659,0.069957597,0.705383848,0,0
2.15596E-5,4.501868404,0.071853779,0.693619143,0,0
2.21654E-5,4.751032715,0.073796434,0.68225324,0.033333333,0
2.27792E-5,5.000359469,0.075760647,0.671186441,0.033333333,0
2.3332E-5,5.251732326,0.077526117,0.660319043,0.033333333,0
2.39343E-5,5.501695671,0.07944567,0.649750748,0.033333333,0
2.48155E-5,5.752363356,0.08224694,0.639481555,0.033333333,0
2.54511E-5,6.001064323,0.084262364,0.629611167,0.033333333,0
2.60685E-5,6.251158608,0.086215548,0.619940179,0.033333333,0
2.67847E-5,6.502091489,0.088476377,0.610468594,0.033333333,0
2.74585E-5,6.751492022,0.090598141,0.601296112,0.033333333,0
2.81151E-5,7.001519123,0.092660843,0.592323031,0.033333333,0
2.87015E-5,7.251683734,0.09449931,0.583549352,0.033333333,0
2.94628E-5,7.501637093,0.096880437,0.574975075,0.033333333,0
3.026E-5,7.752674764,0.099367063,0.566600199,0.033333333,0
3.09024E-5,8.00037329,0.101365767,0.558524427,0.033333333,0
3.16517E-5,8.250349711,0.103691574,0.550548355,0.033333333,0
3.23457E-5,8.503048784,0.105840508,0.542671984,0.033333333,0
3.31208E-5,8.751655316,0.108234382,0.535094716,0.033333333,0
3.3999E-5,9.00326219,0.110938693,0.527617149,0.033333333,0
3.48566E-5,9.251121326,0.113571712,0.520438684,0.033333333,0
3.57525E-5,9.501883556,0.116314131,0.51335992,0.033333333,0
3.66553E-5,9.751793159,0.119069115,0.506480558,0.033333333,0
3.76494E-5,10.000850062,0.122092725,0.499800598,0.033333333,0
