Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.58226E-6,0.000158226,0.00483492,1,0,0
3.31329E-6,0.000489555,0.010097666,0.999900299,0,0
3.43662E-6,0.000833217,0.010471554,0.999800598,0,0
3.54686E-6,0.001187903,0.010805626,0.999700897,0,0
3.89863E-6,0.002680062,0.011870927,0.999302094,0,0
4.18445E-6,0.005100841,0.012735672,0.998703888,0,0
4.46317E-6,0.010362945,0.013578186,0.997507478,0,0
4.8641E-6,0.025460673,0.014788867,0.994317049,0,0
5.1169E-6,0.050369143,0.015551453,0.989332004,0,0
5.52309E-6,0.100435167,0.016775548,0.97996012,0,0
6.25404E-6,0.200295077,0.018974515,0.963110668,0,0
7.12494E-6,0.300001533,0.021588077,0.948255234,0,0
7.78657E-6,0.400138267,0.023568966,0.934895314,0,0
8.42018E-6,0.500013763,0.025462225,0.922632104,0,0
8.96626E-6,0.600857646,0.02709096,0.9110668,0,0
9.38754E-6,0.700229307,0.028345619,0.900299103,0,0
9.582E-6,0.750517357,0.028924226,0.895014955,0,0
9.77467E-6,0.800876458,0.029497151,0.889830508,0,0
1.02067E-5,0.900581204,0.030780493,0.879860419,0,0
1.06231E-5,1.000523469,0.032016052,0.870289133,0,0
1.10824E-5,1.100616562,0.033376892,0.86111665,0,0
1.14409E-5,1.20066392,0.034437808,0.85224327,0,0
1.18303E-5,1.300936323,0.035588908,0.843668993,0,0
1.23124E-5,1.400068543,0.037012055,0.835493519,0,0
1.27187E-5,1.500134349,0.038209572,0.827517448,0,0
1.3723E-5,1.75074886,0.041163974,0.808673978,0,0
1.46649E-5,2.000532243,0.043926214,0.79112662,0.033333333,0
1.54107E-5,2.250845471,0.046107833,0.774576271,0.033333333,0
1.60469E-5,2.50091687,0.047965046,0.758723829,0.033333333,0
1.66002E-5,2.750814644,0.049577227,0.743469591,0.033333333,0
1.70698E-5,3.001623015,0.050943332,0.728614158,0.033333333,0
1.75512E-5,3.250925215,0.052341754,0.714257228,0.033333333,0
1.7997E-5,3.501566535,0.053634992,0.700199402,0.033333333,0
1.84734E-5,3.751136714,0.055015052,0.686540379,0.033333333,0
1.90217E-5,4.000597012,0.056600715,0.67328016,0.033333333,0
1.95787E-5,4.251780635,0.058208924,0.660319043,0.033333333,0
2.01862E-5,4.500248713,0.059959936,0.647856431,0.033333333,0
2.08723E-5,4.750973253,0.061933386,0.635692921,0.033333333,0
2.14933E-5,5.000900131,0.063715973,0.623928215,0.033333333,0
2.2027E-5,5.251160384,0.065245483,0.612462612,0.033333333,0
2.26086E-5,5.501283713,0.066909299,0.601296112,0.033333333,0
2.32252E-5,5.751419725,0.068669763,0.590428714,0.033333333,0
2.38504E-5,6.000635147,0.070451848,0.579860419,0.033333333,0
2.44245E-5,6.251606799,0.072084843,0.569491525,0.033333333,0
2.4981E-5,6.50108838,0.073665454,0.559421735,0.033333333,0
2.55685E-5,6.751353543,0.07533071,0.549551346,0.033333333,0.25
2.61624E-5,7.002044743,0.077011544,0.539880359,0.033333333,0.25
2.66106E-5,7.252610559,0.078277827,0.530408774,0.033333333,0.25
2.70974E-5,7.502372961,0.079651128,0.52113659,0.033333333,0.25
2.7476E-5,7.750929014,0.08071791,0.512063809,0.033333333,0.25
2.79593E-5,8.00023326,0.082077726,0.503090728,0.033333333,0.25
2.84104E-5,8.251086235,0.083345347,0.494217348,0.033333333,0.25
2.89493E-5,8.500750678,0.08485713,0.48554337,0.033333333,0.25
2.94747E-5,8.751840524,0.086328613,0.476969093,0.033333333,0.25
3.00121E-5,9.00168318,0.087831511,0.468594217,0.033333333,0.25
3.05284E-5,9.250143473,0.089272837,0.460418744,0.033333333,0.25
3.11352E-5,9.500132104,0.090964222,0.452342971,0.033333333,0.25
3.17234E-5,9.751595402,0.092600553,0.444366899,0.066666667,0.25
3.23488E-5,10.001369803,0.094337101,0.436590229,0.1,0.25
3.28063E-5,10.252222956,0.095605425,0.42891326,0.1,0.25
3.3503E-5,10.500821683,0.097533273,0.421435693,0.1,0.25
3.43754E-5,10.751994051,0.099941874,0.414057827,0.1,0.25
3.53246E-5,11.002983768,0.102554836,0.406879362,0.1,0.25
3.63459E-5,11.250215195,0.105357998,0.4,0.1,0.25
3.7229E-5,11.500404407,0.107774884,0.393220339,0.1,0.25
3.818E-5,11.752968527,0.110370111,0.386540379,0.1,0.25
3.92477E-5,12.001121929,0.113274975,0.380159521,0.1,0.25
4.00741E-5,12.250673322,0.115516628,0.373878365,0.1,0.25
4.11542E-5,12.502668197,0.118438032,0.367696909,0.1,0.25
4.2052E-5,12.752469783,0.120859071,0.361714855,0.1,0.25
4.30409E-5,13.003139459,0.123518065,0.355832502,0.1,0.25
4.39402E-5,13.251467029,0.125929257,0.350149551,0.1,0.25
4.51193E-5,13.500809569,0.129080517,0.344566301,0.1,0.25
4.60371E-5,13.751310288,0.131525447,0.339082752,0.1,0.25
4.70167E-5,14.002368313,0.134127605,0.333698903,0.1,0.25
4.80495E-5,14.254171441,0.13686253,0.328414756,0.1,0.25
4.91589E-5,14.502394212,0.139790477,0.32333001,0.1,0.25
5.03461E-5,14.751049861,0.142912937,0.318344965,0.1,0.25
5.15245E-5,15.000781123,0.146001224,0.313459621,0.1,0.25
5.25007E-5,15.250193792,0.148551049,0.308673978,0.1,0.25
5.36841E-5,15.50499969,0.151631871,0.303888335,0.1,0.25
5.49557E-5,15.755453381,0.154929843,0.299302094,0.1,0.25
5.66288E-5,16.00135713,0.159249574,0.294915254,0.1,0.25
5.77654E-5,16.252877906,0.162171753,0.290528415,0.1,0.25
5.87441E-5,16.50375299,0.164679662,0.286241276,0.1,0.25
5.99232E-5,16.753313635,0.167691251,0.282053838,0.1,0.25
6.11987E-5,17.001291756,0.170936659,0.277966102,0.1,0.25
6.25745E-5,17.25511199,0.174423252,0.273878365,0.1,0.25
6.45876E-5,17.503506461,0.179498207,0.26999003,0.1,0.25
6.58563E-5,17.751471769,0.182680796,0.266201396,0.1,0.25
6.74114E-5,18.004535563,0.186564649,0.262412762,0.1,0.25
6.91567E-5,18.256777058,0.190901734,0.258723829,0.1,0.25
7.06903E-5,18.501199091,0.194693754,0.255234297,0.1,0.25
7.20887E-5,18.751136538,0.198135701,0.251744766,0.1,0.25
7.38321E-5,19.007005786,0.202406493,0.248255234,0.1,0.25
7.54098E-5,19.253130253,0.206251793,0.244965105,0.1,0.25
7.71205E-5,19.504411517,0.210400224,0.241674975,0.1,0.25
7.86824E-5,19.75354604,0.21416888,0.238484546,0.1,0.25
7.97226E-5,20.007022925,0.216668759,0.235294118,0.1,0.25
8.10098E-5,20.256204772,0.219751093,0.23220339,0.1,0.25
8.22168E-5,20.501221716,0.222630597,0.229212363,0.1,0.25
8.39229E-5,20.750181688,0.226682429,0.226221336,0.1,0.25
8.56075E-5,21.004682027,0.230662488,0.223230309,0.1,0.25
8.73473E-5,21.25603814,0.234751631,0.220338983,0.1,0.25
8.87934E-5,21.502770053,0.238133887,0.217547358,0.1,0.25
9.04089E-5,21.753573237,0.241894679,0.214755733,0.1,0.25
9.29316E-5,22.001139004,0.247730201,0.212063809,0.1,0.25
9.44891E-5,22.254383851,0.25131047,0.209371884,0.1,0.25
9.65172E-5,22.503025457,0.255947305,0.206779661,0.1,0.25
9.82172E-5,22.756609354,0.259811614,0.204187438,0.1,0.25
1.00216E-4,23.004575245,0.264330139,0.201694915,0.1,0.25
1.02235E-4,23.2573238,0.268864741,0.199202393,0.1,0.25
1.04219E-4,23.504804053,0.27329427,0.196809571,0.1,0.25
1.06252E-4,23.757388285,0.277805444,0.19441675,0.1,0.25
1.0773E-4,24.003834793,0.281068344,0.192123629,0.1,0.25
1.09215E-4,24.253433583,0.284332272,0.189830508,0.1,0.25
1.10782E-4,24.506775798,0.287757361,0.187537388,0.1,0.25
1.124E-4,24.752337098,0.291279876,0.185343968,0.1,0.25
1.14614E-4,25.002552391,0.296068885,0.183150548,0.1,0.25
1.16098E-4,25.256584707,0.299263313,0.180957129,0.1,0.25
1.17452E-4,25.501930911,0.302162095,0.17886341,0.1,0.25
1.18909E-4,25.750404526,0.305270908,0.176769691,0.1,0.25
1.2025E-4,26.001473924,0.308116844,0.174675972,0.1,0.25
1.22129E-4,26.255951634,0.312088669,0.172582253,0.1,0.25
1.23816E-4,26.501645542,0.315633321,0.170588235,0.1,0.25
1.25592E-4,26.751418743,0.319347569,0.168594217,0.1,0.25
1.26845E-4,27.003967128,0.321953901,0.166600199,0.1,0.25
1.28438E-4,27.259340834,0.325254277,0.164606181,0.1,0.25
1.3029E-4,27.505163778,0.329072495,0.162711864,0.1,0.25
1.31703E-4,27.754509595,0.3319699,0.160817547,0.1,0.25
1.3365E-4,28.006759423,0.335942017,0.15892323,0.1,0.25
1.35773E-4,28.262836276,0.34024701,0.157028913,0.1,0.25
1.38475E-4,28.509968267,0.345683691,0.155234297,0.1,0.25
1.39985E-4,28.760435896,0.348703183,0.153439681,0.1,0.25
1.41389E-4,29.013902894,0.351498134,0.151645065,0.1,0.25
1.44307E-4,29.257120659,0.357269897,0.14995015,0.133333333,0.25
1.47207E-4,29.504901691,0.362953424,0.148255234,0.133333333,0.25
1.49477E-4,29.757387082,0.367368068,0.146560319,0.133333333,0.25
1.50812E-4,30.012676006,0.369949314,0.144865404,0.133333333,0.25
1.52747E-4,30.255568591,0.373672485,0.143270189,0.133333333,0.25
1.54729E-4,30.501824511,0.377463971,0.141674975,0.133333333,0.25
1.58206E-4,30.752560451,0.384059214,0.140079761,0.133333333,0.25
1.60321E-4,31.007811258,0.388035221,0.138484546,0.133333333,0.25
1.61941E-4,31.265902978,0.391065842,0.136889332,0.133333333,0.25
