Predictor variable,Categorical,Sample average
bio1,false,220.4
bio12,false,2254.8
bio14,false,0.9
bio15,false,107.86666666666666
bio17,false,34.1
bio18,false,697.3333333333334
bio19,false,42.3
bio2,false,0.0
bio3,false,45.833333333333336
