X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
93.727755,26.629933,train,1.872874976733448E-4,42.57049151448818,0.47678014036524907
76.427384,10.302191,train,0.0025637054656626732,91.2926014746754,0.9998590133237841
91.320328,23.672888,train,1.6452329311866947E-4,39.447571682125776,0.4339207111594643
93.811951,25.773062,train,1.4765910553404043E-4,36.68022578066429,0.3999213545991809
73.72,17.03,train,0.0010080143429358735,72.81195595239492,0.9693867908700746
74.25,16.67,train,2.4050681117592675E-4,48.55819187853485,0.5647427826059744
91.660004,26.15,train,1.1089348428970462E-4,29.88875394382344,0.3185529903006984
90.786566,25.98606,train,1.4040069363537591E-4,35.50543039870271,0.3846663114014939
94.368718,25.174323,train,1.366132955794165E-4,34.76043303035395,0.3765529619525053
75.655721,12.922851,train,8.766436432742586E-4,69.29188928198307,0.9517791752043252
75.017516,13.478885,train,0.004344058517374643,98.0714713179612,0.9999997014664656
77.577901,13.078948,train,7.3818197545776E-5,22.17262381243265,0.22532214353153324
94.042882,25.706306,train,1.4983808626079363E-4,37.16175568192743,0.4044266898359221
73.653727,16.072001,train,0.0013631098164730187,79.00696028261991,0.9910352831742116
94.316498,26.988503,train,2.2355503833159114E-4,46.33833236141067,0.5384609567413852
77.584282,12.948781,train,8.716804821128401E-5,25.458843231157857,0.26027728216433166
73.521126,16.657125,train,0.001472470864663677,80.12977320195644,0.9938585564205427
76.883507,10.357455,train,8.102355851962564E-4,68.31384085200143,0.9393287323845164
77.99778,30.345556,train,2.1658551297281248E-5,4.542566871827069,0.07217150907385617
76.986664,8.431111,train,0.0010221653575612792,73.31406387052176,0.970849011782406
77.013268,8.81566,train,0.0012710695214715872,77.55929362749248,0.9876750265366874
76.951248,10.295271,train,7.652606995110072E-4,67.51967484431702,0.9291177102186419
94.358472,26.678877,train,2.2794879870138515E-4,46.80359883586493,0.5454216125029729
91.633333,25.583333,train,3.203666862355958E-4,54.87544319816652,0.669788493465894
74.883333,12.866667,train,0.0019319187822814188,86.65286301966047,0.9987464107357559
95.04,27.5,train,2.7147706306656093E-4,51.66365709170175,0.608954748861103
77.262089,8.695128,train,8.874686507305207E-4,69.5574298902901,0.9535511573040067
73.511873,16.651753,train,0.0013424532947146183,78.60032279729562,0.9903713861523911
80.374971,8.346565,train,4.3193570860244234E-4,58.63390454353392,0.775503487566022
79.61611,22.88361,train,4.8935835663780685E-5,14.002838461707846,0.15570197610497905
76.424458,10.304457,test,0.0025313662687898655,90.52025105100269,0.9998423284760137
93.977676,26.696484,test,2.1428456110184486E-4,45.37194565044262,0.523422872611937
77.466446,8.504928,test,9.77350100647563E-4,71.98567700058992,0.9659616749924135
93.382529,26.655537,test,1.933043060838215E-4,43.26289386817565,0.4875557153007384
